;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
5405;femenino;industria;fabrica de ;manrique central no. 1;3;4.0;7/05/2019;4500000;microempresarial
5406;masculino;COMERCIO;variedades;robledo;2;7.0;16/02/2017;4000000;microempresarial
5407;masculino;comercio;variedades;granizal;2;1.0;3/10/2018;3000000;microempresarial
5408;femenino;comercio;montallantas;manrique central no. 1;3;4.0;27/04/2018;1000000;microempresarial
5409;Femenino;industria;fabrica de ;granizal;1;1.0;24/01/2018;7800000;microempresarial
5410;masculino;comercio;taller de electronica;belen;3;16.0;8/05/2017;7370000;microempresarial
5411;masculino;industria;Ebanistaria;belencito;02;13.0;18/05/2018;2000000;microempresarial
5412;femenino;industria;fabrica de ;buenos aires;2;9.0;23/02/2017;6000000;microempresarial
5413;masculino;servicio;peluqueria;cataluna;3;9.0;3/04/2017;7377000;microempresarial
5414;femenino;comercio;tienda;manrique oriental;1;3.0;7/03/2019;8200000;microempresarial
5415;femenino;industria;fabrica de ;robledo;2;7.0;30/05/2019;7000000;microempresarial
5416;femenino;comercio;variedades;santa cruz;2;2.0;17/04/2018;7800000;MICROEMPRESARIAL
5417;femenino;comercio;almacen de ropa en ;la pradera;2;13.0;2016/09/20;6000000;microempresarial
5418;femenino;comercio;variedades;moravia;2;4.0;12/05/2016;6890000;microempresarial
5419;femenino;servicio;peluqueria;aranjuez;1;4.0;16/02/2017;6000000;microempresarial
5420;femenino;comercio;charcuteria;buenos aires;3;9.0;11/07/2018;2500000;microempresarial
5421;masculino;comercio;comidas rapidas;aranjuez;2;4.0;23/02/2018;1000000;microempresarial
5422;femenino;comercio;distribuidora de ;la milagrosa;3;9.0;2016/10/20;6890000;microempresarial
5423;masculino;servicio;tienda;villa niza;2;2.0;9/05/2018;7000000;microempresarial
5424;masculino;servicio;legumbreria;robledo;3;7.0;10/05/2017;1500000;microempresarial
5425;femenino;industria;fabrica de ;las violetas;2;16.0;7/11/2017;3000000;microempresarial
5426;femenino;servicio;comidas rapidas;granizal;1;1.0;5/04/2016;2000000;microempresarial
5427;masculino;servicio;mantenimiento en ;enciso;1;8.0;22/01/2018;3000000;microempresarial
5428;femenino;industria;fabrica de ;manrique oriental;2;3.0;17/08/2017;7377000;microempresarial
5429;Femenino;comercio;COMIDAS RAPIDAS;robledo;2;7.0;6/04/2018;7800000;microempresarial
5430;femenino;comercio;almacen de ropa en ;los alcazares;3;13.0;19/10/2016;6800000;microempresarial
5431;femenino;comercio;variedades;aranjuez;2;4.0;9/01/2019;2000000;microempresarial
5432;masculino;industria;fabrica de calzado;robledo;2;7.0;26/07/2017;3000000;MICROEMPRESARIAL
5433;femenino;servicio;Panaderia;manrique central no. 1;2;4.0;19/04/2017;7300000;microempresarial
5434;masculino;comercio;taller de electronica;belen;3;16.0;2018/07/26;3000000;microempresarial
5435;masculino;COMERCIO;peluqueria;granizal;2;1.0;2/03/2018;5000000;microempresarial
5436;femenino;comercio;variedades;enciso;3;8.0;23/12/2016;6000000;Microempresarial
5437;Masculino;INDUSTRIA;fabrica de calzado;20 de julio;2;13.0;10/11/2016;6500000;microempresarial
5438;masculino;industria;fabrica de muebles;cabecera san cristobal;3;60.0;26/10/2018;7800000;microempresarial
5439;masculino;industria;fabrica de ;robledo;2;7.0;3/05/2019;8200000;microempresarial
5440;femenino;comercio;Variedades;popular;2;1.0;11/04/2018;5000000;microempresarial
5441;femenino;comercio;publicidad y ;manrique-oriental;2;3.0;18/07/2016;6890000;microempresarial
5442;Masculino;servicio;comidas rapidas;manrique central no. 1;2;4.0;27/02/2017;4000000;MICROEMPRESARIAL
5443;femenino;servicio;lavadero de ;san bernardo;3;16.0;23/03/2018;3000000;microempresarial
5444;femenino;comercio;tienda;;3;9.0;30/11/2017;3000000;microempresarial
5445;MASCULINO;comercio;variedades;loreto;2;9.0;18/01/2019;5000000;microempresarial
5446;femenino;comercio;tienda de helados;enciso;3;8.0;14/06/2017;7300000;microempresarial
5447;femenino;agropecuaria;criadero de animales ;cabecera san antonio ;2;80.0;9/10/2017;14000000;agropecuaria
5448;femenino;industria;fabrica de ;alfonso lopez;3;5.0;13/02/2018;7800000;microempresarial
5449;FEMENINO;servicio;productos de belleza;aranjuez;2;4.0;22/03/2017;7370000;microempresarial
5450;masculino;industria;fabrica de ceramica;popular;1;1.0;22/05/2018;7812000;microempresarial
5451;femenino;comercio;variedades;;2;7.0;21/09/2018;7500000;microempresarial
5452;masculino;comercio;tienda;aguas frias;1;70.0;11/04/2019;8200000;microempresarial
5453;masculino;comercio;almacen de ropa en ;barrio caicedo;1;9.0;14/08/2018;5500000;microempresarial
5454;masculino;comercio;variedades;villa hermosa;3;8.0;15/09/2016;4000000;microempresarial
5455;masculino;comercio;tienda;el salvador;3;9.0;4/03/2016;6890000;microempresarial
5456;femenino;servicio;cafeteria;barrio caicedo;2;9.0;28/02/2017;1500000;microempresarial
5457;femenino;servicio;restaurante;san javier no.1;3;13.0;18/08/2017;3500000;microempresarial
5458;masculino;comercio;legumbreria;robledo;1;7.0;13/06/2018;4000000;microempresarial
5459;femenino;servicio;comidas rapidas;moravia;2;4.0;4/08/2016;6000000;microempresarial
5460;masculino;Agropecuaria;sembrados;la milagrosa;2;9.0;6/09/2016;6890000;microempresarial
5461;femenino;industria;fabrica de ;popular;2;1.0;6/04/2018;7800000;microempresarial
5462;femenino;servicio;publicidad y ;manrique central no. 1;2;4.0;12/02/2018;7800000;microempresarial
5463;femenino;comercio;cafeteria;cristo rey;3;15.0;2017/10/23;7370000;microempresarial
5464;masculino;comercio;variedades;belen;3;16.0;3/10/2018;5000000;microempresarial
5465;masculino;;comidas rapidas;villatina;1;8.0;5/05/2017;7000000;microempresarial
5466;femenino;industria;fabrica de ;aranjuez;3;4.0;28/06/2018;3000000;microempresarial
